Module,Variable,rho,p_value,fdr
5,thetao,-0.15713547798494917,0.5759707496151055,0.7019643510934098
5,so,0.09266964086291872,0.7425495908628597,0.8274124012471865
5,chl,-0.07655318158241113,0.7862642595151368,0.8597469005913178
5,o2,0.19339751136609123,0.48981143585415554,0.6367548666104023
5,no3,-0.47140643395484744,0.07608610979767197,0.1935233662245135
5,po4,0.4633482043145936,0.08194912230336988,0.1967067428091707
5,si,-0.813881193665634,2.2225900170849556e-4,0.00371490045712771
5,Longitude.x,0.16519370762520294,0.5562948039633794,0.6924094900395255
5,Latitude.x,0.17325193726545676,0.5369128262072402,0.6903164908378804
6,thetao,0.30709399650445074,0.2655526477667421,0.4198602674149841
6,so,0.4125143236626951,0.1264987337427493,0.2596552955772223
6,chl,0.5179346508209394,0.04796481107270962,0.14768112882913226
6,o2,-0.43543178608840033,0.10474400706664412,0.2312273363546672
6,no3,0.3483454288707203,0.20322930220298072,0.3835133606088508
6,po4,-0.4583492485141056,0.08574396481425389,0.1967067428091707
6,si,0.16042223697993696,0.5679105954519639,0.699426733346103
6,Longitude.x,-0.29334351904902756,0.2886341660732547,0.4274708535515291
6,Latitude.x,-0.29334351904902756,0.2886341660732547,0.4274708535515291
7,thetao,0.04039810927844341,0.8863339824211333,0.9177086366661292
7,so,0.22112649289253236,0.4283605217654398,0.5804023843451368
7,chl,0.3401946044500498,0.21472237978478573,0.39815903371344336
7,o2,-0.10418459761282774,0.711749458585859,0.8084921034421894
7,no3,-0.1530875720025224,0.5859620975448064,0.7067790248736324
7,po4,-0.05953405577875871,0.8330771027138928,0.9025001946067172
7,si,-0.31042757656067044,0.2601305619044821,0.4198602674149841
7,Longitude.x,0.14245649061345833,0.6125320011254104,0.7312882054252349
7,Latitude.x,0.01063108138906405,0.9700045376895534,0.978366645773084
8,thetao,0.3199512535757955,0.2450142500273098,0.4198602674149841
8,so,0.4950189206267024,0.06064082646058647,0.16499945804392133
8,chl,0.22939901199774015,0.41082944447911074,0.5654946471065406
8,o2,-0.31391443747059183,0.2545317911719717,0.4198602674149841
8,no3,0.3199512535757955,0.2450142500273098,0.4198602674149841
8,po4,-0.4950189206267024,0.06064082646058647,0.16499945804392133
8,si,0.2173253797873328,0.4365419642937781,0.5804023843451368
8,Longitude.x,-0.3199512535757955,0.2450142500273098,0.4198602674149841
8,Latitude.x,-0.3199512535757955,0.2450142500273098,0.4198602674149841
9,thetao,-0.4745353764783104,0.07389265916617134,0.1921209138320455
9,so,-0.6914658342969666,0.00429892634281231,0.03078981945623687
9,chl,-0.7321402951379646,0.00191306948632881,0.01721762537695934
9,o2,0.6449807361929688,0.00942480094383952,0.04954667519063685
9,no3,-0.29634250041298565,0.28350191715011297,0.4274708535515291
9,po4,0.6023693962643042,0.01748269254734352,0.0730526795728283
9,si,-0.20918294146798988,0.4543304517909528,0.5972658748263088
9,Longitude.x,0.25566803957198764,0.35772367970390284,0.5104106161628857
9,Latitude.x,0.39706021297164745,0.1427996039033149,0.2831788755370821
10,thetao,0.03063458145320982,0.913695561198475,0.9308728102662934
10,so,-0.3165573416831682,0.25033763072974335,0.4198602674149841
10,chl,-0.16849019799265402,0.5483298161156263,0.6924094900395255
10,o2,0.16593731620488655,0.5544937714819337,0.6924094900395255
10,no3,-0.04595187217981474,0.8708210945160287,0.9177086366661292
10,po4,0.21954783374800377,0.43174882973409534,0.5804023843451368
10,si,-0.1174325622373043,0.6768213122699831,0.7840405300553269
10,Longitude.x,-0.04084610860427976,0.8850811281132218,0.9177086366661292
10,Latitude.x,-0.04084610860427976,0.8850811281132218,0.9177086366661292
11,thetao,-0.5010557367319062,0.0570889131916644,0.16291226447377402
11,so,-0.29580398915498074,0.28441946025584436,0.4274708535515291
11,chl,-0.4587980239954803,0.08539828822839285,0.1967067428091707
11,o2,0.5070925528371099,0.05369133768318226,0.1570471627233081
11,no3,-0.07847860936764796,0.7810077336431878,0.8597469005913178
11,po4,0.33806170189140655,0.21779639450991772,0.39815903371344336
11,si,0.03018408052601844,0.9149604545352458,0.9308728102662934
11,Longitude.x,0.35617215020701765,0.19257097184409527,0.37551339509598575
11,Latitude.x,0.5493502655735357,0.03390888269897661,0.11020386877167396
12,thetao,0.6177973926397313,0.01411590857039808,0.06116893713839169
12,so,0.1378556165394442,0.6241737055546472,0.7376598338373104
12,chl,0.2731583512911209,0.32459373632628297,0.46885761913796425
12,o2,-0.5514224661577768,0.03310528213687496,0.11020386877167396
12,no3,0.6611963830317786,0.00727274889876761,0.04254558105779056
12,po4,-0.5641868750966142,0.02846640976784925,0.09795793949524596
12,si,0.48504753967582215,0.06685566014223232,0.1777752781054814
12,Longitude.x,-0.5846099293987541,0.02208727055286085,0.08075658295889751
12,Latitude.x,-0.5846099293987541,0.02208727055286085,0.08075658295889751
Others,thetao,-0.4587980239954803,0.08539828822839285,0.1967067428091707
Others,so,-0.42257712736425823,0.11659718557792942,0.24360483415388823
Others,chl,-0.2475094603133512,0.3737926431567813,0.520639752968374
Others,o2,0.42257712736425823,0.11659718557792911,0.24360483415388823
Others,no3,0.00603681610520368,0.9829648080936249,0.9829648080936249
Others,po4,0.29580398915498074,0.2844194602558449,0.4274708535515291
Others,si,-0.096589057683259,0.7320226794436773,0.8235255143741369
Others,Longitude.x,0.39842986294344346,0.1413005270355838,0.2831788755370821
Others,Latitude.x,0.5916079783099615,0.02017413547898819,0.07867912836805394
